control_id;artikel;verplichting;control;implementatiemechanisme;scope;eigenaar;evidence;frequentie;status:AIS-001-amalia;status:AIS-002-braincell;toelichting:AIS-001-amalia;toelichting:AIS-002-braincell
C-01;Art. 6, 7, Bijlage III;Risicoclassificatie per AI-systeem;Elke AI-workload draagt een geverifieerde risicoklasse en staat in het AI-systeemregister;policies/kyverno/01-require-risk-class-label.yaml, policies/opa/ai_act/inventory.rego, docs/ai-systeemregister.yaml;alle;compliance@itlusions.nl;Kyverno policy report, opa test-output, register in Git;per deploy + kwartaalreview;implemented;implemented;Label en registerentry aanwezig;Label en registerentry aanwezig
C-02;Art. 9;Risicomanagementsysteem over de hele levenscyclus;Risicoanalyse per systeem vastgelegd en herzien bij elke majorrelease;docs/risicoanalyse-<system-id>.md, reviewissue in GitHub;high;compliance@itlusions.nl;Ondertekende risicoanalyse, reviewhistorie in Git;per majorrelease + halfjaarlijks;planned;n/a;docs/risicoanalyse-AIS-001-amalia.md moet nog worden opgesteld;"Geen hoogrisicosysteem; wel jaarlijkse herbeoordeling van de classificatie"
C-03;Art. 10;Data governance en datakwaliteit;Geen training/finetune zonder compleet, gesigneerd lineage-manifest inclusief bias-assessment;policies/opa/ai_act/data_governance.rego, ci/check-dataset.sh, examples/lineage-manifest.yaml;high;dpo@itlusions.nl;CI-gate-log, cosign-signatuur op manifest, DPIA-referentie;per training run;partial;n/a;"Lineage-manifest bestaat; bias-assessment nog niet uitgevoerd";"Geen eigen training; alleen inferentie op ingekochte modellen"
C-04;Art. 10, Art. 15;Toegangsbeheer op trainingsdata;Just-in-time toegang tot dataopslag via Entra ID PIM en Conditional Access;Entra ID PIM-rol AI-Data-Reader, CA-policy require-mfa-ai-data;high, limited;security@itlusions.nl;PIM-activatielog, Entra sign-in logs;continu, kwartaalcontrole;planned;n/a;PIM-rol AI-Data-Reader moet nog worden ingericht;Geen eigen trainingsdataopslag
C-05;Art. 11, Bijlage IV;Technische documentatie;Model card wordt per release automatisch gegenereerd en gepubliceerd als artifact;ci/generate-model-card.sh, workflow model-release;high, limited;n.weistra@itlusions.nl;Model card per release-tag, GitHub artifact + Git-historie;per release;implemented;partial;Model card wordt gegenereerd in workflow model-release;Model card beperkt tot versie- en herkomstinformatie
C-06;Art. 12;Automatische registratie van gebeurtenissen;"Audit-sidecar wordt automatisch geïnjecteerd; logs hash-chained en herleidbaar tot SPIFFE-id";policies/kyverno/02-inject-audit-sidecar.yaml;high, limited;platform@itlusions.nl;Admission-log, steekproef audit-events met geldige hash-chain;per deploy + maandelijkse steekproef;implemented;implemented;Sidecar-injectie actief;Sidecar-injectie actief
C-07;Art. 12 lid 3;Logretentie gedurende de gedocumenteerde periode;Retentie afgedwongen als policy-as-code op storage (7 jaar);infra/azure-log-retention.json, gate in policies/opa/ai_act/release.rego;high, limited;platform@itlusions.nl;Lifecycle-policy export, release-gate-output;per deploy + jaarlijkse controle;partial;implemented;Lifecycle-policy gedefinieerd, nog niet toegepast op het storage account;Retentie 365 dagen
C-08;Art. 13, Art. 50;Transparantie richting eindgebruiker;"Elke AI-respons draagt disclosure-headers; deployment draagt disclosure-metadata";infra/gateway-transparency-plugin.yaml, policies/kyverno/06-require-transparency-metadata.yaml, tests/test_transparency_contract.py;high, limited;product@itlusions.nl;Gateway-config in Git, contract-testresultaat per pipeline-run;per release;implemented;implemented;Headers en contract-test aanwezig;Disclosure-headers actief (Art. 50)
C-09;Art. 14;Menselijk toezicht bij productie-inzet;Deployment naar ai-prod vereist menselijke approval met traceerbaar ticket;policies/kyverno/03-require-human-approval-prod.yaml, GitHub environment ai-production;high, limited;compliance@itlusions.nl;Approval-annotatie op resource, GitHub environment approval-log;per deploy;implemented;implemented;Approval-gate actief op ai-prod;Approval-gate actief op ai-prod
C-10;Art. 14 lid 4;Onderbreken van de werking (kill-switch);Hoogrisicosysteem exposeert een geteste kill-switch met runbook;policies/kyverno/03-require-human-approval-prod.yaml (rule require-kill-switch-probe), docs/runbook-kill-switch.md;high;platform@itlusions.nl;Runbook plus testbewijs van halfjaarlijkse kill-switch-oefening;halfjaarlijks;partial;n/a;"Endpoint bestaat; halfjaarlijkse oefening nog niet gepland";Geen hoogrisicosysteem
